uniqueID,name,gender,partyName,year_elected
Baker1841,"Baker, Richard",male,Free Trade,NA
Baker1873,"Baker, Francis Patrick",male,Australian Labor Party,1940
Baker1903,"Baker, Francis Matthew",male,Federal Labor Party,1934
Baker1903,"Baker, Francis Matthew",male,Federal Labor Party,1931
Baker1958,"Baker, Mark",male,Liberal Party of Australia,2004
Bakhap1866,"Bakhap, Thomas",male,Liberal Party of Australia,NA
Baldwin1951,"Baldwin, Peter",male,Australian Labor Party,1983
Baldwin1955,"Baldwin, Bob",male,Liberal Party of Australia,1996
Baldwin1955,"Baldwin, Bob",male,Liberal Party of Australia,2001
Bamford1849,"Bamford, Frederick",male,Australian Labor Party,1901
Bamford1849,"Bamford, Frederick",male,Nationalist Party,1901
Bandidt1906,"Bandidt, Henry",male,Australian Country Party,1958
Bandt1972,"Bandt, Adam",male,Australian Greens,2010
Banks1962,"Banks, Julia",female,Independent,2016
Banks1962,"Banks, Julia",female,Liberal Party of Australia,2016
Barker1846,"Barker, Stephen",male,Australian Labor Party,NA
Barnard1890,"Barnard, Claude",male,Australian Labor Party,1934
Barnard1890,"Barnard, Claude",male,Federal Labor Party,1934
Barnard1919,"Barnard, Lance",male,Australian Labor Party,1954
Barnes1868,"Barnes, John",male,Australian Labor Party,NA
Barnes1901,"Barnes, Ced",male,Australian Country Party,1958
Barnett1962,"Barnett, Guy",male,Liberal Party of Australia,NA
Barresi1955,"Barresi, Phil",male,Liberal Party of Australia,1996
Barrett1858,"Barrett, John",male,Australian Labor Party,NA
Bartlett1949,"Bartlett, Kerry",male,Liberal Party of Australia,1996
Bartlett1964,"Bartlett, Andrew",male,Australian Democrats,NA
Barton1849,"Barton, Edmund",male,Protectionist Party,1901
Barwell1877,"Barwell, Henry",male,Nationalist Party,NA
Barwick1903,"Barwick, Garfield",male,Liberal Party of Australia,1958
Batchelor1865,"Batchelor, Lee",male,Australian Labor Party,1903
Batchelor1865,"Batchelor, Lee",male,Australian Labor Party,1901
Bate1906,"Bate, Jeff",male,Independent,1949
Bate1906,"Bate, Jeff",male,Liberal Party of Australia,1949
Baume1930,"Baume, Michael",male,Liberal Party of Australia,1975
Baume1935,"Baume, Peter",male,Liberal Party of Australia,NA
Bayley1882,"Bayley, James",male,Nationalist Party,1917
Beahan1937,"Beahan, Michael",male,Australian Labor Party,NA
Beale1898,"Beale, Howard",male,Liberal Party of Australia,1946
Beale1934,"Beale, Julian",male,Liberal Party of Australia,1990
Beale1934,"Beale, Julian",male,Liberal Party of Australia,1984
Beard1866,"Beard, Henry",male,Australian Labor Party,1910
Beasley1895,"Beasley, Jack",male,Australian Labor Party,1928
Beasley1895,"Beasley, Jack",male,Australian Labor Party,1928
Beasley1895,"Beasley, Jack",male,Australian Labor Party,1928
Beasley1895,"Beasley, Jack",male,Australian Labor Party (Non-Communist),1928
Beasley1895,"Beasley, Jack",male,Lang Labor Party,1928
Beaton1925,"Beaton, Noel",male,Australian Labor Party,1960
Beazley1917,"Beazley, Kim (Sr)",male,Australian Labor Party,1945
Beazley1948,"Beazley, Kim (Jr)",male,Australian Labor Party,1996
