uniqueID,year_elected
Wilson1972,2018
Wilson1980,2016
Wilton1955,1996
Windsor1950,2001
Wise1853,1906
Wise1853,1914
Wood1968,2004
Wood1968,2013
WoodsHarry1947,1990
WoodsRobert1947,1987
Wooldridge1956,1987
Worth1946,1993
Wright1942,1984
Wyatt1952,2010
Wynne1850,1906
Yates1871,1914
Yates1871,1922
Yates1921,1975
Young1936,1974
Young1968,2019
Zahra1973,1998
Zammit1941,1996
Zappia1952,2007
Zimmerman1968,2015
