uniqueID,partyAbbrev,partyName,partySimplifiedName
Gibbons1887,ALP,Australian Labor Party,Labor
Gibbons1949,ALP,Australian Labor Party,Labor
Gibbs1879,ALP,Australian Labor Party,Labor
Gibbs1922,LIB,Liberal Party of Australia,Liberals
Gibbs1947,ALP,Australian Labor Party,Labor
Gibson1869,CP,Australian Country Party,Nationals
Gibson1869,FU,Farmers Union,Farmers Union
Gibson1869,VFU,Victorian Farmers Union,Victorian Farmers Union
Gibson1935,LIB,Liberal Party of Australia,Liberals
Gibson1936,LIB,Liberal Party of Australia,Liberals
Gibson1954,ALP,Australian Labor Party,Labor
Gichuhi1962,FFP,Family First Party,Family First Party
Gichuhi1962,IND,Independent,Independent
Gichuhi1962,LIB,Liberal Party of Australia,Liberal Party of Australia
Gietzelt1920,ALP,Australian Labor Party,Labor
Giles1923,LIB,Liberal Party of Australia,Liberals
Giles1928,ALP,Australian Labor Party,Labor
Giles1973,ALP,Australian Labor Party,Labor
Gillard1920,LIB,Liberal Party of Australia,Liberals
Gillard1961,ALP,Australian Labor Party,Labor
Gillespie1957,NP,The Nationals,The Nationals
Gilmore1908,CP,Australian Country Party,Nationals
Givens1864,ALP,Australian Labor Party,Labor
Givens1864,NAT,Nationalist Party,Nationalist Party
Glasgow1876,NAT,Nationalist Party,Nationalist Party
Glassey1844,PROT,Protectionist Party,Protectionist Party
Glynn1855,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Glynn1855,FT,Free Trade,Free Trade
Glynn1855,LIB,Liberal Party of Australia,Liberal Party of Australia
Glynn1855,NAT,Nationalist Party,Nationalist Party
Goodenough1975,LIB,Liberal Party of Australia,Liberals
Goodluck1933,LIB,Liberal Party of Australia,Liberals
Gordon1865,LIB,Liberal Party of Australia,Liberals
Gorman1926,ALP,Australian Labor Party,Labor
Gorman1984,ALP,Australian Labor Party,Labor
Gorton1911,IND,Independent,Independent
Gorton1911,LIB,Liberal Party of Australia,Liberals
Gosling1971,ALP,Australian Labor Party,Labor
Gould1847,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Gould1847,FT,Free Trade,Free Trade
Gould1847,LIB,Liberal Party of Australia,Liberal Party of Australia
Grace1931,ALP,Australian Labor Party,Labor
Grace1940,LIB,Liberal Party of Australia,Liberals
Graham1867,ALP,Australian Labor Party,Labor
Graham1919,LIB,Liberal Party of Australia,Liberals
Grant1857,ALP,Australian Labor Party,Labor
Grant1878,NAT,Nationalist Party,Nationalist Party
Grant1878,UAP,United Australia Party,United Australia Party
Grant1888,ALP,Australian Labor Party,Labor
Grassby1926,ALP,Australian Labor Party,Labor
Gray1840,FT,Free Trade,Free Trade
Gray1908,ALP,Australian Labor Party,Labor
Gray1958,ALP,Australian Labor Party,Labor
Grayden1920,LIB,Liberal Party of Australia,Liberals
Green,ALP,Australian Labor Party,Australian Labor Party
Green1869,ALP,Australian Labor Party,Labor
Green1869,ALP,Australian Labor Party,Labor
Green1869,FLP,Federal Labor Party,Federal Labor Party
Green1885,CP,Australian Country Party,Nationals
Greenup1902,ALP,Australian Labor Party,Labor
Greenwood1926,LIB,Liberal Party of Australia,Liberals
Gregory1860,CP,Australian Country Party,Nationals
Gregory1860,LIB,Liberal Party of Australia,Liberals
Gregory1860,NAT,Nationalist Party,Nationalist Party
Greig1966,AD,Australian Democrats,Australian Democrats
Grierson1951,ALP,Australian Labor Party,Labor
Griff1957,CA,Centre Alliance,Centre Alliance
Griff1957,NXT,Nick Xenophon Team,Nick Xenophon Team
Griffin1960,ALP,Australian Labor Party,Labor
Griffiths1903,ALP,Australian Labor Party,Labor
Griffiths1952,ALP,Australian Labor Party,Labor
Griggs1969,CLP,Country Liberal Party (Northern Territory),Country Liberal Party (Northern Territory)
Grimes1937,ALP,Australian Labor Party,Labor
Grogan,ALP,Australian Labor Party,Labor
Groom1833,PROT,Protectionist Party,Protectionist Party
Groom1852,FT,Free Trade,Free Trade
Groom1867,IND,Independent,Independent
Groom1867,LIB,Liberal Party of Australia,Liberal Party of Australia
Groom1867,NAT,Nationalist Party,Nationalist Party
Groom1867,PROT,Protectionist Party,Protectionist Party
Groom1867,UAP,United Australia Party,United Australia Party
Groom1944,LIB,Liberal Party of Australia,Liberals
Guilfoyle1926,LIB,Liberal Party of Australia,Liberals
Gullett1878,NAT,Nationalist Party,Nationalist Party
Gullett1878,UAP,United Australia Party,United Australia Party
Gullett1914,LIB,Liberal Party of Australia,Liberals
Gun1936,ALP,Australian Labor Party,Labor
Guthrie1856,ALP,Australian Labor Party,Labor
Guthrie1856,NAT,Nationalist Party,Nationalist Party
Guthrie1872,NAT,Nationalist Party,Nationalist Party
Guthrie1872,UAP,United Australia Party,United Australia Party
Guy1860,ALP,Australian Labor Party,Labor
Guy1890,ALP,Australian Labor Party,Labor
Guy1890,LIB,Liberal Party of Australia,Liberal Party of Australia
Guy1890,UAP,United Australia Party,United Australia Party
Haase1945,LIB,Liberal Party of Australia,Liberals
Hadley1893,ALP,Australian Labor Party,Labor
Haines1945,AD,Australian Democrats,Australian Democrats
Haines1961,IND,Independent,Independent
Halbert1910,LIB,Liberal Party of Australia,Liberals
Hale1969,ALP,Australian Labor Party,Labor
Hall1874,ALP,Australian Labor Party,Labor
Hall1928,LIB,Liberal Party of Australia,Liberal Party of Australia
Hall1928,LM,Liberal Movement,Liberal Movement
Hall1949,ALP,Australian Labor Party,Labor
Hallett1917,CP,Australian Country Party,Nationals
Halverson1937,LIB,Liberal Party of Australia,Liberals
Hamer1923,LIB,Liberal Party of Australia,Liberals
Hamilton1899,CP,Australian Country Party,Nationals
Hamilton1979,LIB,Liberal Party of Australia,Liberals
Hammond1968,LIB,Liberal Party of Australia,Liberals
Hammond1975,ALP,Australian Labor Party,Labor
Hampson1864,ALP,Australian Labor Party,Labor
Hand1942,ALP,Australian Labor Party,Labor
Handby1903,LIB,Liberal Party of Australia,Liberals
Hannaford1903,IND,Independent,Independent
Hannaford1903,LIB,Liberal Party of Australia,Liberals
Hannan1873,ALP,Australian Labor Party,Labor
Hannan1910,LIB,Liberal Party of Australia,Liberals
Hannan1910,NAT LIB,National Liberal Party,National Liberal Party
Hansen1922,ALP,Australian Labor Party,Labor
Hanson1954,IND,Independent,Independent
Hanson1954,PHON,Pauline Hansons One Nation,Pauline Hansons One Nation
HansonYoung1981,GRN,Australian Greens,Australian Greens
Hardgrave1960,LIB,Liberal Party of Australia,Liberals
Harding1921,ALP,Australian Labor Party,Labor
Hardy1898,CP,Australian Country Party,Nationals
Harney1865,FT,Free Trade,Free Trade
Harper1842,LIB,Liberal Party of Australia,Liberal Party of Australia
Harper1842,PROT,Protectionist Party,Protectionist Party
Harradine1935,IND,Independent,Independent
Harris1890,ALP,Australian Labor Party,Labor
Harris1937,LIB,Liberal Party of Australia,Liberals
Harris1943,PHON,Pauline Hansons One Nation,Pauline Hansons One Nation
Harrison1880,UAP,United Australia Party,United Australia Party
Harrison1892,LIB,Liberal Party of Australia,Liberal Party of Australia
Harrison1892,UAP,United Australia Party,United Australia Party
Harrison1903,ALP,Australian Labor Party,Labor
Hart1960,ALP,Australian Labor Party,Labor
Hartnoll1841,FT,Free Trade,Free Trade
Hartsuyker1959,NP,The Nationals,Nationals
Hartsuyker1959,NPA,National Party of Australia,Nationals
Harvey1946,ALP,Australian Labor Party,Labor
Haslem1939,LIB,Liberal Party of Australia,Liberals
Hasluck1905,LIB,Liberal Party of Australia,Liberals
Hastie1982,LIB,Liberal Party of Australia,Liberals
Hatton1951,ALP,Australian Labor Party,Labor
Haviland1952,ALP,Australian Labor Party,Labor
Hawke1929,ALP,Australian Labor Party,Labor
Hawke1977,LIB,Liberal Party of Australia,Liberals
Hawker1894,NAT,Nationalist Party,Nationalist Party
Hawker1894,UAP,United Australia Party,United Australia Party
Hawker1949,LIB,Liberal Party of Australia,Liberals
Haworth1905,LIB,Liberal Party of Australia,Liberals
Hay1865,CP,Australian Country Party,Nationals
Hay1865,IND,Independent,Independent
Hay1865,NAT & FARMERS,Nationalist and Farmers,Nationalist and Farmers
Hayden1933,ALP,Australian Labor Party,Labor
Hayes1868,LIB,Liberal Party of Australia,Liberal Party of Australia
Hayes1868,NAT,Nationalist Party,Nationalist Party
Hayes1868,UAP,United Australia Party,United Australia Party
Hayes1955,ALP,Australian Labor Party,Labor
Haylen1898,ALP,Australian Labor Party,Labor
Hays1869,LIB,Liberal Party of Australia,Liberal Party of Australia
Hays1869,NAT,Nationalist Party,Nationalist Party
Hays1869,UAP,United Australia Party,United Australia Party
Hearn1921,ALP,Australian Labor Party,Labor
Heatley1920,LIB,Liberal Party of Australia,Liberals
Hedges1856,LIB,Liberal Party of Australia,Liberal Party of Australia
Hedges1856,WAP,Western Australia Party,Western Australia Party
Heffernan1943,LIB,Liberal Party of Australia,Liberals
Heitmann1878,NAT,Nationalist Party,Nationalist Party
Henderson1857,ALP,Australian Labor Party,Labor
Henderson1857,NAT,Nationalist Party,Nationalist Party
Henderson1964,LIB,Liberal Party of Australia,Liberals
Hendrickson1897,ALP,Australian Labor Party,Labor
Hendy1962,LIB,Liberal Party of Australia,Liberals
Henry1946,LIB,Liberal Party of Australia,Liberals
Henty1903,LIB,Liberal Party of Australia,Liberals
Henzell1948,ALP,Australian Labor Party,Labor
Herron1932,LIB,Liberal Party of Australia,Liberals
Hewson1914,CP,Australian Country Party,Nationals
Hewson1914,NCP,National Country Party,Nationals
Hewson1946,LIB,Liberal Party of Australia,Liberals
Hicks1940,NCP,National Country Party,Nationals
Hicks1940,NPA,National Party of Australia,Nationals
Higgins1851,PROT,Protectionist Party,Protectionist Party
Higgs1862,ALP,Australian Labor Party,Labor
Higgs1862,IND,Independent,Independent
Higgs1862,NAT,Nationalist Party,Nationalist Party
Hill1866,CP,Australian Country Party,Nationals
Hill1866,VFU,Victorian Farmers Union,Victorian Farmers Union
Hill1946,LIB,Liberal Party of Australia,Liberals
Hill1960,PHON,Pauline Hansons One Nation,Pauline Hansons One Nation
Hill1973,ALP,Australian Labor Party,Labor
Hinch1944,DHJP,Derryn Hinchs Justice Party,Derryn Hinchs Justice Party
Hoare1874,ALP,Australian Labor Party,Labor
Hoare1963,ALP,Australian Labor Party,Labor
Hockey1965,LIB,Liberal Party of Australia,Liberals
Hodges1937,LIB,Liberal Party of Australia,Liberals
Hodgman1938,LIB,Liberal Party of Australia,Liberals
Hogan1963,NP,The Nationals,The Nationals
Hogg1949,ALP,Australian Labor Party,Labor
Holder1850,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Holder1850,FT,Free Trade,Free Trade
Holder1850,PROT,Protectionist Party,Protectionist Party
Holding1931,ALP,Australian Labor Party,Labor
Hollis1938,ALP,Australian Labor Party,Labor
Holloway1875,ALP,Australian Labor Party,Labor
Holloway1875,ALP,Australian Labor Party,Labor
Holloway1875,FLP,Federal Labor Party,Federal Labor Party
Holman1871,UAP,United Australia Party,United Australia Party
Holt1908,LIB,Liberal Party of Australia,Liberal Party of Australia
Holt1908,UAP,United Australia Party,United Australia Party
Holt1914,ALP,Australian Labor Party,Labor
Holten1922,CP,Australian Country Party,Nationals
Holten1922,NCP,National Country Party,Nationals
Horne1939,ALP,Australian Labor Party,Labor
Howard1939,LIB,Liberal Party of Australia,Liberals
Howarth1972,LIB,Liberal Party of Australia,Liberals
Howe1861,ALP,Australian Labor Party,Labor
Howe1936,ALP,Australian Labor Party,Labor
Howroyd1867,NAT,Nationalist Party,Nationalist Party
Howse1863,NAT,Nationalist Party,Nationalist Party
Howse1913,LIB,Liberal Party of Australia,Liberals
Howson1919,LIB,Liberal Party of Australia,Liberals
Hughes,LIB,Liberal Party of Australia,Liberals
Hughes1862,ALP,Australian Labor Party,Labor
Hughes1862,IND NAT,Independent National(ist),Independent National(ist)
Hughes1862,LIB,Liberal Party of Australia,Liberal Party of Australia
Hughes1862,NAT,Nationalist Party,Nationalist Party
Hughes1862,UAP,United Australia Party,United Australia Party
Hughes1923,LIB,Liberal Party of Australia,Liberals
Hull1954,NP,The Nationals,Nationals
Hull1954,NPA,National Party of Australia,Nationals
Hulls1957,ALP,Australian Labor Party,Labor
Hulme1907,LIB,Liberal Party of Australia,Liberals
Hume1971,LIB,Liberal Party of Australia,Liberals
HumeCook1866,PROT,Protectionist Party,Protectionist Party
Humphreys1934,ALP,Australian Labor Party,Labor
Humphries1958,LIB,Liberal Party of Australia,Liberals
Hunt1928,CP,Australian Country Party,Nationals
Hunt1928,NCP,National Country Party,Nationals
Hunt1928,NPA,National Party of Australia,Nationals
Hunt1965,LIB,Liberal Party of Australia,Liberals
Hunter1882,CP,Australian Country Party,Nationals
Hurford1931,ALP,Australian Labor Party,Labor
Hurley1955,ALP,Australian Labor Party,Labor
Hurry1868,NAT,Nationalist Party,Nationalist Party
Husar1980,ALP,Australian Labor Party,Labor
Husic1970,ALP,Australian Labor Party,Labor
Hutchin1887,UAP,United Australia Party,United Australia Party
Hutchins1956,ALP,Australian Labor Party,Labor
Hutchinson1904,LIB,Liberal Party of Australia,Liberal Party of Australia
Hutchinson1904,UAP,United Australia Party,United Australia Party
Hutchinson1965,LIB,Liberal Party of Australia,Liberals
Hutchison1859,ALP,Australian Labor Party,Labor
Hyde1936,LIB,Liberal Party of Australia,Liberals
Innes1925,ALP,Australian Labor Party,Labor
Irons1958,LIB,Liberal Party of Australia,Liberals
Irvine1856,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Irvine1858,LIB,Liberal Party of Australia,Liberal Party of Australia
Irvine1858,NAT,Nationalist Party,Nationalist Party
Irwin1898,LIB,Liberal Party of Australia,Liberals
Irwin1951,ALP,Australian Labor Party,Labor
Isaacs1855,PROT,Protectionist Party,Protectionist Party
Jack1892,LIB,Liberal Party of Australia,Liberals
Jackson1889,NAT,Nationalist Party,Nationalist Party
Jackson1962,ALP,Australian Labor Party,Labor
Jacobi1928,ALP,Australian Labor Party,Labor
Jakobsen1947,ALP,Australian Labor Party,Labor
James1885,ALP,Australian Labor Party,Labor
James1885,ALP,Australian Labor Party,Labor
James1885,LANG LAB,Lang Labor Party,Lang Labor Party
James1914,ALP,Australian Labor Party,Labor
Jarman1923,LIB,Liberal Party of Australia,Liberals
Jeanes1958,LIB,Liberal Party of Australia,Liberals
Jenkins1925,ALP,Australian Labor Party,Labor
Jenkins1938,AD,Australian Democrats,Australian Democrats
Jenkins1952,ALP,Australian Labor Party,Labor
Jennings1878,UAP,United Australia Party,United Australia Party
Jensen1865,ALP,Australian Labor Party,Labor
Jensen1865,NAT,Nationalist Party,Nationalist Party
Jensen1962,LIB,Liberal Party of Australia,Liberals
Jess1922,LIB,Liberal Party of Australia,Liberals
Jessop1927,IND,Independent,Independent
Jessop1927,LIB,Liberal Party of Australia,Liberals
Johns1952,ALP,Australian Labor Party,Labor
Johnson1862,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party
Johnson1862,FT,Free Trade,Free Trade
Johnson1862,LIB,Liberal Party of Australia,Liberal Party of Australia
Johnson1862,NAT,Nationalist Party,Nationalist Party
Johnson1871,ALP,Australian Labor Party,Labor
Johnson1889,ALP,Australian Labor Party,Labor
Johnson1924,ALP,Australian Labor Party,Labor
