uniqueID,partyAbbrev,partyName,partySimplifiedName
Large1878,ALP,Australian Labor Party,Labor
Latham1877,LIB,Liberal Party of Australia,Liberals
Latham1877,NAT,Nationalist Party,Nationalist Party
Latham1877,UAP,United Australia Party,United Australia Party
Latham1882,CP,Australian Country Party,Nationals
Latham1961,ALP,Australian Labor Party,Labor
Laucke1914,LIB,Liberal Party of Australia,Liberals
Laught1907,LIB,Liberal Party of Australia,Liberals
Laundy1971,LIB,Liberal Party of Australia,Liberals
Lavarch1961,ALP,Australian Labor Party,Labor
Lavelle1887,ALP,Australian Labor Party,Labor
Lawler1961,NPA,National Party of Australia,Nationals
Lawrence1906,LIB,Liberal Party of Australia,Liberals
Lawrence1948,ALP,Australian Labor Party,Labor
Lawrie1907,CP,Australian Country Party,Nationals
Lawrie1907,NCP,National Country Party,Nationals
Lawson1875,NAT,Nationalist Party,Nationalist Party
Lawson1880,ALP,Australian Labor Party,Labor
Lawson1880,FLP,Federal Labor Party,Federal Labor Party
Lawson1897,UAP,United Australia Party,United Australia Party
Lazarus1965,PUP,Palmer United Party,Palmer United Party
Lazzarini1894,ALP,Australian Labor Party,Labor
Lazzarini1894,ALP,Australian Labor Party,Labor
Lazzarini1894,LANG LAB,Lang Labor Party,Lang Labor Party
Leckie1872,LIB,Liberal Party of Australia,Liberal Party of Australia
Leckie1872,NAT,Nationalist Party,Nationalist Party
Leckie1872,UAP,United Australia Party,United Australia Party
Lee1856,FT,Free Trade,Free Trade
Lee1920,LIB,Liberal Party of Australia,Liberals
Lee1957,ALP,Australian Labor Party,Labor
